חשבון קרן,קרן,שם קרן,מספר נייר,שם נייר/סוג חשבון,מטבע,ערך נקוב,שער נייר,שער מטבע,"סה""כ ש""ח"
,5127165,חשבון פיקטיבי אינטרנט US,71448195,W,"דולרים של ארה""ב",654,36.42,3.7286,88810.33
,5127165,חשבון פיקטיבי אינטרנט US,71514772,PAYC,"דולרים של ארה""ב",445,280.95,3.7286,466159.83
,5127165,חשבון פיקטיבי אינטרנט US,71568075,HUBS,"דולרים של ארה""ב",406,496.21,3.7286,751168.45
,5127165,חשבון פיקטיבי אינטרנט US,71575435,GDDY,"דולרים של ארה""ב",1344,72.35,3.7286,362563.1
,5127165,חשבון פיקטיבי אינטרנט US,71583140,ETSY,"דולרים של ארה""ב",1072,85.53,3.7286,341868.47
,5127165,חשבון פיקטיבי אינטרנט US,71657860,PYPL,"דולרים של ארה""ב",7784,60.22,3.7286,1747790.5
,5127165,חשבון פיקטיבי אינטרנט US,71685440,Z,"דולרים של ארה""ב",1352,44.95,3.7286,226595.97
,5127165,חשבון פיקטיבי אינטרנט US,71729453,SQ,"דולרים של ארה""ב",4597,59,3.7286,1011282.08
,5127165,חשבון פיקטיבי אינטרנט US,71795355,TWLO,"דולרים של ארה""ב",1483,60.1,3.7286,332323.78
,5127165,חשבון פיקטיבי אינטרנט US,71871529,SNAP,"דולרים של ארה""ב",8338,10.28,3.7286,319595.61
,5127165,חשבון פיקטיבי אינטרנט US,71980775,CARG,"דולרים של ארה""ב",771,18.98,3.7286,54562.77
,5127165,חשבון פיקטיבי אינטרנט US,72352891,DBX,"דולרים של ארה""ב",2321,22.81,3.7286,197399.58
,5127165,חשבון פיקטיבי אינטרנט US,72517956,ZM,"דולרים של ארה""ב",1876,66.27,3.7286,463548.95
,5127165,חשבון פיקטיבי אינטרנט US,72518509,PINS,"דולרים של ארה""ב",5045,24.23,3.7286,455785.37
,5127165,חשבון פיקטיבי אינטרנט US,72579055,NET,"דולרים של ארה""ב",2413,61.14,3.7286,550083.42
,5127165,חשבון פיקטיבי אינטרנט US,72705494,MTCH,"דולרים של ארה""ב",2402,34.11,3.7286,305492.48
,5127165,חשבון פיקטיבי אינטרנט US,72706203,IAC,"דולרים של ארה""ב",674,55.53,3.7286,139551.13
,5127165,חשבון פיקטיבי אינטרנט US,72782774,DASH,"דולרים של ארה""ב",2054,67.44,3.7286,516492.23
,5127165,חשבון פיקטיבי אינטרנט US,72783426,ABNB,"דולרים של ארה""ב",3237,106.81,3.7286,1289140.97
,5127165,חשבון פיקטיבי אינטרנט US,72859382,COIN,"דולרים של ארה""ב",1321,56.92,3.7286,280358.36
,5127165,חשבון פיקטיבי אינטרנט US,72874225,FYBR,"דולרים של ארה""ב",1888,15.53,3.7286,109324.94
,5127165,חשבון פיקטיבי אינטרנט US,73500837,DOCS,"דולרים של ארה""ב",925,30.71,3.7286,105917.41
,5127165,חשבון פיקטיבי אינטרנט US,73517260,HOOD,"דולרים של ארה""ב",3684,8.82,3.7286,121152.95
,5127165,חשבון פיקטיבי אינטרנט US,73518227,DUOL,"דולרים של ארה""ב",234,149.14,3.7286,130123.52
,5127165,חשבון פיקטיבי אינטרנט US,73549982,GTLB,"דולרים של ארה""ב",642,34.65,3.7286,82943.83
,5127165,חשבון פיקטיבי אינטרנט US,73571259,BRZE,"דולרים של ארה""ב",365,31.06,3.7286,42270.77
,1142556,חשבון פיקטיבי טכ עילית,0,שווי נטו,,0,0,0,540024470
,1142556,חשבון פיקטיבי טכ עילית,0,יצירות פדיונות,,0,0,0,0
,1142556,חשבון פיקטיבי טכ עילית,0,הכנסות/הוצאות,,0,0,0,891915.85
,1142556,חשבון פיקטיבי טכ עילית,0,"עו""ש בש""ח",,0,0,0,-114123.29
